Title,Price,Category_path,Rating,Qty_califications,Features_JSON_format,Image_Url,Item_Url
Mesa 120x55,65.99,Inicio>Muebles Lufe>Mesas de madera>Mesa 120x55,4.3,3,"{""Altura mesa_0"": "" 75 cm"", ""Anchura mesa_0"": "" 55 cm"", ""Largo_0"": "" 120 cm"", ""Puedes usarla en exterior aplicando uno de nuestros barnices o aceites protectores, es importante que lo hagas porque la madera, la de verdad, es una superficie delicada a la que hay que mimar más que otras superficies. _1"": null}",https://muebleslufe.com/1988-thickbox_default/arina-88x55.jpg,https://muebleslufe.com/es/mesas/457-arina-88x55.html
Composición cama sofá con cajón blanco nórdico,138.97,Inicio>Muebles Lufe>Camas>Camas sofá>Composición cama sofá con cajón blanco nórdico,5,1,"{""Compatible con "": ""  "", ""LUFE lamas de 90"": "" , "", ""LUFE cama nido"": "" y "", ""LUFE cajón base"": "" "", ""Este producto incluye estructura de cama sofá, lamas y cajón. No incluye respaldos, cojines ni textiles._5"": null}",https://muebleslufe.com/357-thickbox_default/composicion-sofa-con-cajon-blanca.jpg,https://muebleslufe.com/es/sofa/138-composicion-sofa-con-cajon-blanca.html
Estructura de cama 105,34.99,Inicio>Muebles Lufe>Camas>Camas individuales>Estructura de cama 105,4,1,"{""Descripcion_0"": null}",https://muebleslufe.com/1586-thickbox_default/cama-105-madera.jpg,https://muebleslufe.com/es/individual/409-cama-105-madera.html
Bancada cama 105 con lamas,44.98,Inicio>Muebles Lufe>Camas>Camas individuales>Bancada cama 105 con lamas,4.2,23,"{""Descripcion_0"": null}",https://muebleslufe.com/1634-thickbox_default/cama-somier-105.jpg,https://muebleslufe.com/es/individual/417-cama-somier-105.html
Bancada cama 105 con colchón,154.97,Inicio>Muebles Lufe>Camas>Camas individuales>Bancada cama 105 con colchón,4.8,13,"{""Descripcion_0"": null}",https://muebleslufe.com/1720-thickbox_default/cama-colchon-105.jpg,https://muebleslufe.com/es/individual/418-cama-colchon-105.html
Estructura de cama 90,29.99,Inicio>Muebles Lufe>Camas>Camas individuales>Estructura de cama 90,4.5,15,"{""Material"": "" Madera local certificada PEFC,"", ""Altura"": "" Cabecero 68,5 cm, Pie de cama 34,5 cm, colchón 28,5 cm del suelo"", ""Largo exterior"": "" 197,5 cm / 207,5 cm"", ""Anchura exterior"": "" 99 cm""}",https://muebleslufe.com/490-thickbox_default/cama-individual-madera.jpg,https://muebleslufe.com/es/individual/8-cama-individual-madera.html
Estructura de bancada 105,29.99,Inicio>Muebles Lufe>Camas>Camas individuales>Estructura de bancada 105,4.3,3,"{""Descripcion_0"": null}",https://muebleslufe.com/1628-thickbox_default/bancada-cama-105.jpg,https://muebleslufe.com/es/individual/416-bancada-cama-105.html
Estructura de cama 105,44.99,Inicio>Muebles Lufe>Camas>Camas individuales>Estructura de cama 105,4,5,"{""Descripcion_0"": null}",https://muebleslufe.com/1610-thickbox_default/cama-105-cabecero-lamas.jpg,https://muebleslufe.com/es/individual/413-cama-105-cabecero-lamas.html
Cama 105 con colchón,161.97,Inicio>Muebles Lufe>Camas>Camas individuales>Cama 105 con colchón,4.6,14,"{""Descripcion_0"": null}",https://muebleslufe.com/1723-thickbox_default/cama-colchon-105.jpg,https://muebleslufe.com/es/individual/411-cama-colchon-105.html
Cama 105 con colchón,171.97,Inicio>Muebles Lufe>Camas>Camas individuales>Cama 105 con colchón,4.7,37,"{""Descripcion_0"": null}",https://muebleslufe.com/1622-thickbox_default/cama-colchon-105-con-cabecero.jpg,https://muebleslufe.com/es/individual/415-cama-colchon-105-con-cabecero.html
